Player,Year,Pos,Age,G,MP,PTS,TRB,AST
Andrew Nicholson,2015,PF,25,40,12.3,4.9,2.1,0.6
Ben Gordon,2015,SG,31,56,14.1,6.2,1.1,0.9
Channing Frye,2015,PF,31,75,24.9,7.3,3.9,1.3
Devyn Marble,2015,SG,22,16,13.0,2.3,1.9,1.1
Dewayne Dedmon,2015,C,25,59,14.3,3.7,5.0,0.2
Elfrid Payton,2015,PG,20,82,30.4,8.9,4.3,6.5
Evan Fournier,2015,SG,22,58,28.6,12.0,2.6,2.1
Kyle O'Quinn,2015,PF,24,51,16.2,5.8,3.9,1.2
Luke Ridnour,2015,PG,33,47,14.5,4.0,1.4,2.0
Maurice Harkless,2015,SF,21,45,15.0,3.5,2.4,0.6
Nikola VuÄeviÄ‡,2015,C,24,74,34.2,19.3,10.9,2.0
Tobias Harris,2015,SF,22,68,34.8,17.1,6.3,1.8
Victor Oladipo,2015,SG,22,72,35.7,17.9,4.2,4.1
Willie Green,2015,SG,33,52,18.3,5.9,1.5,1.3
Aaron Gordon,2016,PF,20,78,23.9,9.2,6.5,1.6
Andrew Nicholson,2016,PF,26,56,14.7,6.9,3.6,0.4
Brandon Jennings,2016,PG,26,48,18.1,6.9,2.0,3.5
C.J. Watson,2016,PG,31,33,19.9,4.3,2.0,2.7
Devyn Marble,2016,SG,23,28,8.9,2.1,1.4,0.4
Dewayne Dedmon,2016,C,26,58,12.2,4.4,3.9,0.2
Elfrid Payton,2016,PG,21,73,29.4,10.7,3.6,6.4
Ersan Ä°lyasova,2016,PF,28,74,25.4,10.4,5.4,0.9
Evan Fournier,2016,SF,23,79,32.5,15.4,2.8,2.7
Jason Smith,2016,C,29,76,15.5,7.2,2.9,0.8
Keith Appling,2016,PG,23,5,5.4,1.2,0.2,0.2
Mario Hezonja,2016,SF,20,79,17.9,6.1,2.2,1.4
Nikola VuÄeviÄ‡,2016,C,25,65,31.3,18.2,8.9,2.8
Shabazz Napier,2016,PG,24,55,10.9,3.7,1.0,1.8
Victor Oladipo,2016,SG,23,72,33.0,16.0,4.8,3.9
Aaron Gordon,2017,SF,21,80,28.7,12.7,5.1,1.9
Anthony Brown,2017,SF,24,11,14.5,3.9,3.0,0.7
Arinze Onuaku,2017,C,29,8,3.5,0.5,0.8,0.3
Bismack Biyombo,2017,C,24,81,22.1,6.0,7.0,0.9
C.J. Watson,2017,PG,32,62,16.3,4.5,1.4,1.8
C.J. Wilcox,2017,SG,26,22,4.9,1.0,0.5,0.5
D.J. Augustin,2017,PG,29,78,19.7,7.9,1.5,2.7
Damjan RudeÅ¾,2017,SF,30,45,7.0,1.8,0.6,0.4
Elfrid Payton,2017,PG,22,82,29.4,12.8,4.7,6.5
Evan Fournier,2017,SG,24,68,32.9,17.2,3.1,3.0
Jeff Green,2017,PF,30,69,22.2,9.2,3.1,1.2
Jodie Meeks,2017,SG,29,36,20.5,9.1,2.1,1.3
Marcus Georges-Hunt,2017,SG,22,5,9.6,2.8,1.8,0.6
Mario Hezonja,2017,SF,21,65,14.8,4.9,2.2,1.0
Nikola VuÄeviÄ‡,2017,C,26,75,28.8,14.6,10.4,2.8
Patricio Garino,2017,SG,23,5,8.6,0.0,1.4,0.0
Stephen Zimmerman,2017,C,20,19,5.7,1.2,1.8,0.2
Terrence Ross,2017,SF,25,78,25.1,11.0,2.6,1.1
Aaron Gordon,2018,PF,22,58,32.9,17.6,7.9,2.3
Adreian Payne,2018,PF,26,5,8.6,4.2,1.8,0.0
Arron Afflalo,2018,SG,32,53,12.9,3.4,1.2,0.6
Bismack Biyombo,2018,C,25,82,18.2,5.7,5.7,0.8
D.J. Augustin,2018,PG,30,75,23.5,10.2,2.1,3.8
Evan Fournier,2018,SF,25,57,32.2,17.8,3.2,2.9
Jamel Artis,2018,SG,25,15,18.6,5.1,2.5,1.2
Jonathan Isaac,2018,PF,20,27,19.9,5.4,3.7,0.7
Jonathon Simmons,2018,SG,28,69,29.4,13.9,3.5,2.5
Khem Birch,2018,C,25,42,13.8,4.2,4.3,0.8
Mario Hezonja,2018,SF,22,75,22.1,9.6,3.7,1.4
Marreese Speights,2018,C,30,52,13.0,7.7,2.6,0.8
Nikola VuÄeviÄ‡,2018,C,27,57,29.5,16.5,9.2,3.4
Rashad Vaughn,2018,SG,21,28,7.6,2.3,0.8,0.5
Rodney Purvis,2018,SG,23,16,18.1,6.0,1.7,1.1
Shelvin Mack,2018,PG,27,69,19.8,6.9,2.4,3.9
Terrence Ross,2018,SG,26,24,25.0,8.7,3.0,1.6
Wes Iwundu,2018,SF,23,62,16.5,3.7,2.2,0.9
Aaron Gordon,2019,PF,23,78,33.8,16.0,7.4,3.7
Amile Jefferson,2019,PF,25,12,5.7,2.3,1.8,0.3
D.J. Augustin,2019,PG,31,81,28.0,11.7,2.5,5.3
Evan Fournier,2019,SG,26,81,31.5,15.1,3.2,3.6
Isaiah Briscoe,2019,PG,22,39,14.3,3.5,1.9,2.2
Jarell Martin,2019,PF,24,42,7.8,2.7,1.7,0.4
Jerian Grant,2019,PG,26,60,15.7,4.2,1.6,2.6
Jonathan Isaac,2019,PF,21,75,26.6,9.6,5.5,1.1
Khem Birch,2019,C,26,50,12.9,4.8,3.8,0.8
Melvin Frazier,2019,SG,22,10,4.4,1.5,0.5,0.1
Michael Carter-Williams,2019,PG,27,28,13.3,4.8,2.5,2.5
